campaign_id,campaign_name,spend,revenue,conversions,platform
C001,Wrinkle Cream — FB Broad,4200.00,18900.00,312,Facebook
C002,Weight Loss — IG Stories,3100.50,8680.00,198,Instagram
C003,Zepbound — Google Search,5500.00,24750.00,440,Google
C004,Collagen — TikTok,2200.00,4840.00,87,TikTok
C005,Tirzepatide — FB Retargeting,1800.00,9540.00,156,Facebook
C006,Anti-Aging Serum — IG Reels,2800.00,9520.00,184,Instagram
C007,Semaglutide — Google PMax,7800.00,31200.00,512,Google
C008,Hair Growth — TikTok Spark,1500.00,2250.00,52,TikTok
C009,TRT Clinic — FB Lookalike,3400.00,11900.00,178,Facebook
C010,Vitamin D3 — Bing Search,650.00,2470.00,71,Bing
C011,Sleep Gummies — IG Broad,2100.00,6510.00,142,Instagram
C012,Ozempic Alternative — YouTube,4500.00,13050.00,221,YouTube
C013,Wrinkle Cream — Google Display,3200.00,4480.00,89,Google
C014,Telehealth GLP-1 — FB Broad,9100.00,38220.00,604,Facebook
C015,Collagen Peptides — Snapchat,980.00,1960.00,42,Snapchat
C016,Retinol Serum — TikTok,1750.00,5775.00,103,TikTok
C017,Tirzepatide — Google Search,6200.00,27280.00,488,Google
C018,Menopause Relief — IG Carousel,2400.00,7920.00,148,Instagram
C019,Hair Restoration — YouTube Pre-Roll,3800.00,11400.00,165,YouTube
C020,Weight Loss Coach — LinkedIn,1100.00,990.00,18,LinkedIn
C021,Eye Cream — FB Broad,1950.00,5460.00,118,Facebook
C022,Compounded GLP-1 — Google PMax,8400.00,35280.00,560,Google
C023,Glow Serum — TikTok Creator,2700.00,9180.00,176,TikTok
C024,Magnesium Glycinate — Bing,420.00,1554.00,48,Bing
C025,Zepbound — IG Stories,3650.00,14600.00,243,Instagram
C026,Probiotics — FB Retargeting,1400.00,5040.00,108,Facebook
C027,Botox Alternative — X Ads,890.00,623.00,11,X
C028,NAD+ Therapy — Google Search,5200.00,18720.00,288,Google
C029,Skinny Shot — TikTok Broad,4100.00,16400.00,272,TikTok
C030,Cortisol Balance — IG Reels,1850.00,5550.00,112,Instagram
